owner_org,d_fiscal_year,total
aafc-aac,2017-2018,681707.9435285293
aafc-aac,2018-2019,1078665.9048054023
aafc-aac,2019-2020,997965.007514739
aafc-aac,2020-2021,427492.655641204
cfia-acia,2017-2018,89960.42001987185
cfia-acia,2018-2019,405282.82354177197
cfia-acia,2019-2020,175891.9704109589
cfia-acia,2020-2021,237073.18999999997
cgc-ccg,2020-2021,2289.9410880829014
dfo-mpo,2017-2018,53751.948362892224
dfo-mpo,2018-2019,266002.68836289225
dfo-mpo,2019-2020,164629.96
dfo-mpo,2020-2021,359744.3
dnd-mdn,2019-2020,143351.72
ec,2017-2018,46800.00520547945
ec,2018-2019,27769.77
ec,2019-2020,601158.14
ec,2020-2021,28764.020685655556
hc-sc,2017-2018,124743.00373512649
hc-sc,2018-2019,297643.30115438456
hc-sc,2019-2020,125518.34656036855
hc-sc,2020-2021,111071.23591329754
nrc-cnrc,2017-2018,310928.62
nrc-cnrc,2018-2019,1427823.62
nrc-cnrc,2019-2020,1147514.5946594006
nrc-cnrc,2020-2021,626858.44213512
phac-aspc,2017-2018,1918394.7947549836
phac-aspc,2018-2019,2987954.9238486188
phac-aspc,2019-2020,2576467.0052391966
phac-aspc,2020-2021,1726697.0831460527
rcmp-grc,2017-2018,89324.30701587301
rcmp-grc,2018-2019,189261.402984127
