d_most_recent_category,d_fiscal_year,total
1_facilities_and_construction,2017-2018,1707362.6365837718
1_facilities_and_construction,2018-2019,1338027.8927360144
1_facilities_and_construction,2019-2020,239078.55654736664
1_facilities_and_construction,2020-2021,647102.1634923285
10_office_management,2019-2020,43402.39
10_office_management,2020-2021,282407.98000000004
11_defence,2018-2019,18396.77
2_professional_services,2017-2018,447549.1168992248
2_professional_services,2018-2019,50270.43
2_professional_services,2019-2020,38864.549999999996
2_professional_services,2020-2021,162238.25380952383
5_transportation_and_logistics,2018-2019,20226.32
5_transportation_and_logistics,2020-2021,42924.87
6_industrial_products_and_services,2017-2018,784994.6509373536
6_industrial_products_and_services,2018-2019,1450902.350683575
6_industrial_products_and_services,2019-2020,940349.379316425
6_industrial_products_and_services,2020-2021,162262.75
