d_most_recent_category,d_fiscal_year,total,total_constant_2019_dollars
0_other,2021-2022,357942.15,323991.15
0_other,2022-2023,132195.48,119272.56
1_facilities_and_construction,2017-2018,1707362.64,1760898.43
1_facilities_and_construction,2018-2019,1201126.77,1222827.60
1_facilities_and_construction,2019-2020,227398.61,224716.17
1_facilities_and_construction,2020-2021,647102.16,617162.92
1_facilities_and_construction,2021-2022,389917.00,359205.39
1_facilities_and_construction,2022-2023,187335.38,166304.00
10_office_management,2019-2020,43402.39,43231.28
10_office_management,2020-2021,282407.98,271893.14
10_office_management,2021-2022,35575.07,32822.63
10_office_management,2022-2023,44531.36,39771.25
11_defence,2018-2019,18396.77,18632.59
2_professional_services,2017-2018,447549.12,460755.29
2_professional_services,2018-2019,50270.43,51086.34
2_professional_services,2019-2020,38864.55,38452.21
2_professional_services,2020-2021,162238.25,154573.78
2_professional_services,2021-2022,181290.96,167604.35
2_professional_services,2022-2023,38551.91,34199.08
3_information_technology,2018-2019,136901.12,138330.14
3_information_technology,2019-2020,11679.95,11679.60
5_transportation_and_logistics,2018-2019,20226.32,20522.67
5_transportation_and_logistics,2020-2021,42924.87,41120.31
6_industrial_products_and_services,2017-2018,1077275.32,1110122.81
6_industrial_products_and_services,2018-2019,1450902.35,1471813.56
6_industrial_products_and_services,2019-2020,940349.38,932299.33
6_industrial_products_and_services,2020-2021,162262.75,155513.59
6_industrial_products_and_services,2021-2022,122409.03,113094.79
6_industrial_products_and_services,2022-2023,302329.44,269069.51
