d_fiscal_year,total,total_constant_2019_dollars
2017-2018,5671971.70,5843781.75
2018-2019,10574292.38,10761864.87
2019-2020,10793214.28,10712209.25
2020-2021,5189417.01,4927776.75
2021-2022,2644422.76,2455079.80
2022-2023,6844877.29,6087410.66
