owner_org,d_fiscal_year,total
dfatd-maecd,2017-2018,9696562.019274443
dfatd-maecd,2018-2019,12724741.206605524
dfatd-maecd,2019-2020,14864594.782275459
dfatd-maecd,2020-2021,15344861.457455251
