d_fiscal_year,total,total_constant_2019_dollars
2017-2018,150374402.56,154983263.41
2018-2019,152961679.87,155749155.06
2019-2020,153837277.34,152614325.59
2020-2021,141781107.37,135147416.89
2021-2022,19498275.28,18578121.87
