d_most_recent_category,d_fiscal_year,total,total_constant_2019_dollars
2_professional_services,2017-2018,27694.58,28411.52
2_professional_services,2018-2019,29924.12,30382.93
2_professional_services,2019-2020,35524.24,35229.58
2_professional_services,2020-2021,28250.10,26906.84
3_information_technology,2017-2018,959497.20,984242.28
3_information_technology,2018-2019,916688.99,930670.39
3_information_technology,2019-2020,962561.57,953481.12
3_information_technology,2020-2021,1022821.92,972346.65
3_information_technology,2021-2022,1056923.97,981836.39
9_human_capital,2017-2018,10741.10,11019.44
9_human_capital,2018-2019,13995.49,14133.19
9_human_capital,2019-2020,50273.26,50114.22
9_human_capital,2020-2021,27683.88,26341.04
9_human_capital,2021-2022,32811.57,30348.05
