d_most_recent_it_subcategory,d_fiscal_year,total,total_constant_2019_dollars
it_consulting_services,2017-2018,30457.06,31430.94
it_consulting_services,2018-2019,203116.80,205967.75
it_consulting_services,2019-2020,89166.18,87468.72
it_consulting_services,2020-2021,1718191.18,1637477.63
it_consulting_services,2021-2022,1714442.68,1605493.07
it_devices_equipment,2017-2018,13558360.82,13968981.89
it_devices_equipment,2018-2019,7423486.63,7523507.04
it_devices_equipment,2019-2020,9810968.75,9700726.74
it_devices_equipment,2020-2021,13411856.17,12781932.11
it_devices_equipment,2021-2022,14143774.97,13185755.02
it_other,2017-2018,144538.12,148905.14
it_other,2018-2019,658523.97,665482.70
it_other,2019-2020,163038.55,161958.99
it_other,2020-2021,53862.60,51154.05
it_other,2021-2022,61165.74,57375.74
it_software_licensing,2017-2018,4311625.75,4443411.26
it_software_licensing,2018-2019,4461088.46,4542328.11
it_software_licensing,2019-2020,1787390.66,1772972.74
it_software_licensing,2020-2021,1736387.69,1654383.62
it_software_licensing,2021-2022,1621418.50,1516255.80
