normalized_vendor_name,original_vendor_name
PORTAGE PERSONNEL,PORTAGE PERSONNEL INC.
PORTAGE PERSONNEL,PORTAGE PERSONNEL INC
PORTAGE PERSONNEL,Portage Personnel Inc.
PORTAGE PERSONNEL,Portage Personnel Inc
PORTAGE PERSONNEL,PORTAGE PERSONNEL LTD.
PORTAGE PERSONNEL,PORTAGE PERSONNEL
