d_most_recent_category,d_fiscal_year,total
2_professional_services,2017-2018,277591.25
2_professional_services,2018-2019,40850.15
2_professional_services,2019-2020,3010330.24
2_professional_services,2020-2021,3042096.02
3_information_technology,2017-2018,118440.39
3_information_technology,2018-2019,141926.19
3_information_technology,2019-2020,128406.34
3_information_technology,2020-2021,111042.44
9_human_capital,2017-2018,23349.21
9_human_capital,2018-2019,10169.01
9_human_capital,2019-2020,10183.06
9_human_capital,2020-2021,65304.66
