d_most_recent_category,d_fiscal_year,total
1_facilities_and_construction,2017-2018,1716775.2118047783
1_facilities_and_construction,2018-2019,2164665.170112471
1_facilities_and_construction,2019-2020,1164581.3415486522
1_facilities_and_construction,2020-2021,2798945.2378820456
2_professional_services,2017-2018,677175.337188257
2_professional_services,2018-2019,386513.23206432024
2_professional_services,2019-2020,42207.01
2_professional_services,2020-2021,132358.9275531915
5_transportation_and_logistics,2017-2018,249908.80000000002
5_transportation_and_logistics,2018-2019,121763.08191403082
5_transportation_and_logistics,2019-2020,142639.16808596917
5_transportation_and_logistics,2020-2021,37375
