d_most_recent_it_subcategory,d_fiscal_year,total,total_constant_2019_dollars
it_consulting_services,2018-2019,641291.07,648708.79
it_consulting_services,2019-2020,1408318.30,1396433.54
it_consulting_services,2020-2021,1404470.44,1335188.31
it_consulting_services,2021-2022,680873.95,632154.01
