d_most_recent_it_subcategory,d_fiscal_year,total,total_constant_2019_dollars
it_consulting_services,2017-2018,760498.26,779948.51
it_consulting_services,2018-2019,722537.73,733654.05
it_consulting_services,2019-2020,676441.96,668887.87
it_consulting_services,2020-2021,141436.82,133965.18
it_consulting_services,2021-2022,339383.08,314646.23
it_software_licensing,2017-2018,117971.26,120971.44
it_software_licensing,2018-2019,75786.91,76747.36
it_software_licensing,2019-2020,17926.08,17774.80
it_software_licensing,2020-2021,42911.39,40793.85
it_software_licensing,2021-2022,54938.74,50510.83
