d_most_recent_it_subcategory,d_fiscal_year,total,total_constant_2019_dollars
it_consulting_services,2019-2020,501720.00,489578.12
it_consulting_services,2020-2021,14690.00,14102.90
it_consulting_services,2021-2022,214437.28,195796.24
it_devices_equipment,2017-2018,6582468.74,6751475.29
it_devices_equipment,2018-2019,15586869.11,15761015.67
it_devices_equipment,2019-2020,15547399.75,15369739.85
it_devices_equipment,2020-2021,23084201.81,21934611.88
it_devices_equipment,2021-2022,9318972.42,8624198.12
it_other,2017-2018,73763.22,75678.40
it_other,2018-2019,246034.90,248540.23
it_other,2019-2020,87069.25,85701.88
it_other,2020-2021,76656.30,72494.91
it_other,2021-2022,412409.32,376078.80
it_software_licensing,2020-2021,14278.95,13576.48
it_software_licensing,2021-2022,10439.80,9840.97
