owner_org,overall_total
dfatd-maecd,76648514.69
dfo-mpo,29136974.28
isc-sac,20805962.62
hc-sc,20253644.52
csc-scc,17467749.84
cihr-irsc,7589561.15
pwgsc-tpsgc,4357412.36
rcmp-grc,3930498.86
cbsa-asfc,3045536.64
aandc-aadnc,2046820.61
nserc-crsng,1334498.22
ic,1202398.92
pch,1009836.83
nrcan-rncan,928900.28
ppsc-sppc,733457.11
osgg-bsgg,683204.82
pc,643218.6
ec,518291.83
ssc-spc,417549.26
cic,360920.42
fin,337943.15
sshrc-crsh,324907.98
jus,294312.38
cnsc-ccsn,285514.6
cer-rec,247022.26
cannor,221040.88
pbc-clcc,187069.4
elections,165722.34
dnd-mdn,157524.37
osfi-bsif,127125
esdc-edsc,126643.15
cfia-acia,110201.73
tc,82964.54
pco-bcp,68459.1
nrc-cnrc,48727.59
infc,45886.92
tbs-sct,45273.68
cics-scic,44851.86
iaac-aeic,44749.89
phac-aspc,41937.8
wage,22981.37
ps-sp,17516.67
swc-cfc,16319.91
statcan,12282.82
fcac-acfc,5255.89
wd-deo,0
