owner_org,overall_total
dfatd-maecd,165547891.73
isc-sac,46853650.38
dfo-mpo,43569526.93
csc-scc,28052101.11
hc-sc,20265866.60
cihr-irsc,10751569.07
rcmp-grc,9625182.51
pwgsc-tpsgc,7318231.35
cbsa-asfc,6185507.38
cic,3705996.18
aandc-aadnc,3038930.73
dnd-mdn,2452895.80
pc,2030915.24
nrcan-rncan,1577873.55
nserc-crsng,1505734.49
ic,1460318.91
ec,1159065.38
pch,1112341.30
ppsc-sppc,804697.05
osgg-bsgg,760171.10
elections,535545.06
fin,387463.52
sshrc-crsh,334653.33
cnsc-ccsn,330536.38
cannor,319658.55
pbc-clcc,280238.93
jus,258345.51
cer-rec,247022.26
statcan,230270.62
ssc-spc,195813.26
cfia-acia,191164.58
osfi-bsif,186062.06
cics-scic,186007.00
pco-bcp,155704.67
phac-aspc,127772.06
wage,112194.82
esdc-edsc,108248.99
nrc-cnrc,101744.11
tc,94202.19
cra-arc,78426.52
infc,45886.92
tbs-sct,45273.68
iaac-aeic,44749.89
iic-iac,29827.00
sirc-csars,23000.00
fcac-acfc,18532.00
ps-sp,17516.67
swc-cfc,16319.91
prairiescan,10500.00
wd-deo,0.00
