owner_org,overall_total
dfatd-maecd,89935209.53
hc-sc,20265866.60
csc-scc,18980358.62
rcmp-grc,7164458.83
pwgsc-tpsgc,5983074.84
cbsa-asfc,4657098.40
lac-bac,3217931.78
aandc-aadnc,2495859.12
nserc-crsng,1505734.49
ic,1385889.37
pch,1112274.49
pc,1100336.77
nrcan-rncan,1037864.34
ec,936515.38
cic,829932.94
ppsc-sppc,733457.11
osgg-bsgg,688479.00
ssc-spc,512213.26
fin,377703.83
sshrc-crsh,334653.33
cnsc-ccsn,330536.38
jus,316442.96
cer-rec,247022.26
statcan,230270.62
pbc-clcc,223902.07
cannor,221040.88
elections,165722.34
dnd-mdn,157524.37
pco-bcp,155704.67
osfi-bsif,145473.33
cfia-acia,143406.79
esdc-edsc,126643.15
nrc-cnrc,101744.11
tc,94202.19
infc,45886.92
tbs-sct,45273.68
cics-scic,44851.86
iaac-aeic,44749.89
phac-aspc,41937.80
sirc-csars,23000.00
wage,22981.37
ps-sp,17516.67
swc-cfc,16319.91
fcac-acfc,11893.94
cihr-irsc,"NA"
dfo-mpo,"NA"
isc-sac,"NA"
wd-deo,"NA"
