d_fiscal_year,total,total_constant_2019_dollars
2017-2018,981691.68,1011467.59
2018-2019,1408761.74,1431265.91
2019-2020,1640711.70,1625642.62
2020-2021,1110748.57,1056013.47
2021-2022,1438767.42,1337482.97
2022-2023,1709769.77,1527325.80
