d_most_recent_category,d_fiscal_year,total
1_facilities_and_construction,2017-2018,62637.162516772376
1_facilities_and_construction,2018-2019,88826.37004127043
1_facilities_and_construction,2019-2020,37234.067441957195
10_office_management,2017-2018,22232.480000000003
10_office_management,2018-2019,57092.5565116279
10_office_management,2019-2020,34170.914418604654
10_office_management,2020-2021,12964.608795794838
2_professional_services,2017-2018,996961.5759076431
2_professional_services,2018-2019,903553.5889458423
2_professional_services,2019-2020,351982.8745936304
2_professional_services,2020-2021,160864.36592085287
3_information_technology,2017-2018,886215.5106179855
3_information_technology,2018-2019,426784.09524820803
3_information_technology,2019-2020,1029306.354886455
3_information_technology,2020-2021,374401.98860087607
9_human_capital,2017-2018,128216.58
9_human_capital,2018-2019,87960.56463013699
9_human_capital,2019-2020,201373.15042500745
9_human_capital,2020-2021,366557.3880955405
