d_most_recent_category,total,percentage
3_information_technology,3788344.46,0.4684
2_professional_services,2952978.77,0.3651
9_human_capital,1017072.27,0.1257
1_facilities_and_construction,188697.60,0.0233
10_office_management,141337.18,0.0175
