d_fiscal_year,total,total_constant_2019_dollars
2017-2018,2566137.40,2644714.66
2018-2019,2655404.15,2702966.24
2019-2020,2446133.29,2426502.82
2020-2021,1252401.52,1193182.14
2021-2022,4436680.51,4131194.76
