d_fiscal_year,total,total_constant_2019_dollars
2017-2018,3000355.09,3087242.88
2018-2019,3286784.46,3357125.58
2019-2020,2134582.52,2115881.27
2020-2021,3080219.60,2927542.07
2021-2022,2972784.03,2764129.03
2022-2023,2715286.11,2437855.55
