d_most_recent_category,d_fiscal_year,total,total_constant_2019_dollars
10_office_management,2017-2018,478931.48,492673.50
10_office_management,2018-2019,791125.79,800721.26
10_office_management,2019-2020,464851.24,460124.49
10_office_management,2020-2021,205728.38,195889.12
10_office_management,2021-2022,839506.02,767483.53
3_information_technology,2017-2018,24517.45,25306.83
3_information_technology,2021-2022,24999.19,22832.16
6_industrial_products_and_services,2017-2018,724192.39,746479.84
6_industrial_products_and_services,2018-2019,837798.91,848835.84
6_industrial_products_and_services,2019-2020,1399632.73,1379212.04
6_industrial_products_and_services,2020-2021,528480.59,502587.19
6_industrial_products_and_services,2021-2022,836147.01,779033.52
