normalized_vendor_name,original_vendor_name
ATLANTIC ROAD CONSTRUCTION AND PAVING,ARCP - ATLANTIC ROAD CONSTRUCTION
ATLANTIC ROAD CONSTRUCTION AND PAVING,ATLANTIC ROAD CONSTRUCTION &
