d_most_recent_category,d_fiscal_year,total,total_constant_2019_dollars
11_defence,2017-2018,2002528.38,2045500.31
11_defence,2018-2019,5315977.36,5375087.38
11_defence,2019-2020,2266698.93,2265664.81
11_defence,2020-2021,121095.30,118302.92
11_defence,2021-2022,303810.68,195852.73
5_transportation_and_logistics,2017-2018,2185544.61,2240966.45
5_transportation_and_logistics,2018-2019,3788526.02,3829461.24
5_transportation_and_logistics,2019-2020,3236404.55,3233237.69
5_transportation_and_logistics,2020-2021,2129582.54,2061888.49
5_transportation_and_logistics,2021-2022,4280202.02,2700096.92
6_industrial_products_and_services,2019-2020,25829.92,25836.58
6_industrial_products_and_services,2020-2021,95396.78,94513.85
6_industrial_products_and_services,2021-2022,134610.49,98034.28
