d_most_recent_category,d_fiscal_year,total,total_constant_2019_dollars
0_other,2017-2018,467728.50,479509.77
0_other,2018-2019,4183026.06,4244224.68
0_other,2019-2020,2688297.97,2639463.39
0_other,2020-2021,605354.82,577052.69
0_other,2021-2022,254198.47,102634.37
1_facilities_and_construction,2017-2018,1647784576.59,1690377472.48
1_facilities_and_construction,2018-2019,1694169400.53,1720441890.95
1_facilities_and_construction,2019-2020,1609357361.81,1596074590.55
1_facilities_and_construction,2020-2021,1644942727.69,1563861411.19
1_facilities_and_construction,2021-2022,1589463482.53,1250711131.75
10_office_management,2017-2018,69318929.45,71113319.58
10_office_management,2018-2019,60582076.20,61548071.11
10_office_management,2019-2020,58939556.70,58388838.61
10_office_management,2020-2021,63595090.93,60361780.91
10_office_management,2021-2022,53727515.47,37810150.23
11_defence,2017-2018,3085202890.07,3164841174.74
11_defence,2018-2019,3113620419.00,3162208239.79
11_defence,2019-2020,2816563315.79,2790742130.09
11_defence,2020-2021,3064811053.17,2912792650.24
11_defence,2021-2022,3095901348.70,2357196907.73
2_professional_services,2017-2018,363763991.29,373171948.69
2_professional_services,2018-2019,414488821.44,420855234.33
2_professional_services,2019-2020,464899037.83,460666622.81
2_professional_services,2020-2021,433608150.06,412157572.82
2_professional_services,2021-2022,443470818.61,343831756.55
4_medical,2017-2018,124395702.89,127418303.06
4_medical,2018-2019,237102910.91,240824259.34
4_medical,2019-2020,233224167.64,231236338.00
4_medical,2020-2021,247544667.05,235343933.32
4_medical,2021-2022,235020095.25,182275857.54
6_industrial_products_and_services,2017-2018,712244573.14,730578783.74
6_industrial_products_and_services,2018-2019,771591821.96,783284851.57
6_industrial_products_and_services,2019-2020,765929178.24,759144392.12
6_industrial_products_and_services,2020-2021,695201603.56,660705934.72
6_industrial_products_and_services,2021-2022,690587879.08,526869851.40
7_travel,2017-2018,157524.37,161677.28
8_security_and_protection,2017-2018,43717332.66,44823809.88
8_security_and_protection,2018-2019,79808001.63,81048898.21
8_security_and_protection,2019-2020,92398392.36,91533347.27
8_security_and_protection,2020-2021,180568707.37,171570273.94
8_security_and_protection,2021-2022,183616475.08,145364718.30
9_human_capital,2017-2018,30951817.66,31742184.90
9_human_capital,2018-2019,42609400.45,43249878.87
9_human_capital,2019-2020,42753149.07,42317071.90
9_human_capital,2020-2021,37882426.47,36002441.83
9_human_capital,2021-2022,43982281.06,33231630.04
