d_vendor_name,overall_total
MICROSOFT CANADA,3837809.7967713787
DELOITTE AND TOUCHE,3184287.3227605093
PRICEWATERHOUSE COOPERS,3102047.6134179756
NISHA TECHONOLOGIES,2115315.24
COFOMO,2016572.1172262772
KPMG,1821409.8009055757
MINDWIRE SYSTEMS,1505163.670437956
ERNST YOUNG,1337649.6474790939
CISTEL TECHNOLOGY,983571.3404455445
GARTNER,925346.532530586
CDW CANADA,914795.9483060109
DELL COMPUTER,605105.42
ITEX,588731.8127671233
WOLTERS KLUWER,541296.38
RAYMOND CHABOT GRANT THORNTON,511585.9989964653
OPENTEXT,493904.35000000003
DONNA CONA,331948.8
SOFTCHOICE,312640.79491803277
BLACKBERRY,308476.45999999996
HYPERTEC,299462
BELL CANADA,283000
INFO TECH RESEARCH GROUP,281995.955250536
GENESIS INTEGRATION,251020.94
THE RIGHT DOOR CONSULTING,213260.0443801653
GRAYBRIDGE INTERNATIONAL CONSULTING,209514.85
INSA,178840.46785123966
ADVANCED BUSINESS INTERIORS,169491.96
BDO CANADA,164723.97862191853
IBM CANADA,160708.2
ECOLE DE LANGUES LA CITE,151714.48
TELUS CANADA,150264.73117808218
TERAMACH TECHNOLOGIES,113991.03
EBSCO CANADA,113812.04693150686
TOYOTA CANADA,90776
LEO PISCES SERVICES GROUP,84735.88
ROGERS,80511.52554744526
FEDERAL EXPRESS CANADA,75000
ORACLE CANADA,74184.12385964912
ACME FUTURE SECURITY CONTROLS,73534.89
KEYDATA ASSOCIATES,71998.26950389471
ALTIS HUMAN RESOURCES,68221.00914893617
PROQUEST,67947.50378082192
ST JOSEPH PRINT GROUP,58015.33
DNR CONSULTING GROUP,49418.32
STRATOS,47948.4
SAS INSTITUTE,41900.4
THE AIM GROUP,38533
EXCEL HUMAN RESOURCES,36245.880000000005
BROOKFIELD GLOBAL INTEGRATED SOLUTIONS,36200
IPSS,33965.840000000004
MORNEAU SHEPELL,28069.2
M D CHARLTON,27538.480000000003
MNP,24973
GRAND TOY,24860.000000000004
SIMPLEX GRINNELL,24860
SCALAR DECISIONS,23704.1
SYSTEMATIX SOLUTIONS,23361.43528645833
J L RICHARDS ASSOCIATES,22516.53822894169
CARAHSOFT TECHNOLOGY,19961.51
ECOLE DE LANGUES ABCE,19866
R E GILMORE INVESTMENTS,17442.780000000002
FAST TRACK STAFFING,15339.75
IHS GLOBAL,14362.240000000002
SI SYSTEMS,14187.150000000001
LEXISNEXIS CANADA,10163.76
CALIAN,754.289109947644
CLICK NETWORKS,189.28123287671235
STIFF SENTENCES,0
THE MASHA KRUPP TRANSLATION GROUP,0
