d_vendor_name,overall_total
GARTNER,1319703.98
ITEX,781627.35
KEYDATA ASSOCIATES,497846.95
BLACKBERRY,431360.99
INFO TECH RESEARCH GROUP,390050.73
IT NET CONSULTANTS,231531.89
INSA,225766.69
ADVANCED BUSINESS INTERIORS,207827.66
ORACLE CANADA,190507.86
EBSCO CANADA,113812.05
PROQUEST,99655.62
LEO PISCES SERVICES GROUP,84735.88
FEDERAL EXPRESS CANADA,75000.00
ACME FUTURE SECURITY CONTROLS,73534.89
TOTEM OFFISOURCE,65869.80
DNR CONSULTING GROUP,49418.32
SAS INSTITUTE,41900.40
RHEA,40192.38
NITAM SOLUTIONS,40126.56
BROOKFIELD GLOBAL INTEGRATED SOLUTIONS,36200.00
J L RICHARDS ASSOCIATES,33816.54
LEXISNEXIS CANADA,32442.84
MNP,24973.00
SCALAR DECISIONS,23704.10
SYSTEMATIX SOLUTIONS,23361.44
CARAHSOFT TECHNOLOGY,19961.51
R E GILMORE INVESTMENTS,17442.78
FAST TRACK STAFFING,15339.75
IHS GLOBAL,14362.24
CLICK NETWORKS,13817.53
