d_most_recent_category,total,percentage
2_professional_services,19579426.37,0.43197104384684376
3_information_technology,18586618.90,0.41006723159172787
9_human_capital,4164067.81,0.09186973526404583
10_office_management,2335562.46,0.05152834066450218
5_transportation_and_logistics,252658.49,0.005574277217587908
6_industrial_products_and_services,217051.64,0.0047887012486463
1_facilities_and_construction,141808.67,0.0031286534167531336
NA,18645.00,4.113552644937871e-4
4_medical,16950.00,3.739593313579883e-4
8_security_and_protection,12995.00,2.867021540411243e-4
