d_most_recent_category,total,percentage
2_professional_services,19945718.695345238,0.44021083793026533
3_information_technology,18427007.15519517,0.406692202183144
9_human_capital,3913388.8699879837,0.08637022410259988
10_office_management,2335562.4556596717,0.0515468969230149
5_transportation_and_logistics,252658.4869402985,0.005576284612503739
6_industrial_products_and_services,244733.26,0.005401371346881955
1_facilities_and_construction,141808.67,0.0031297800996784773
NA,18645,4.1150340073357433e-4
4_medical,16950,3.7409400066688576e-4
8_security_and_protection,12994.999999999998,2.8680540051127904e-4
