d_most_recent_category,d_fiscal_year,total
10_office_management,2017-2018,78968.11323108137
10_office_management,2018-2019,499189.3040325289
10_office_management,2019-2020,830388.1728766499
10_office_management,2020-2021,273658.8748597398
2_professional_services,2017-2018,1557225.616988499
2_professional_services,2018-2019,2705288.411173394
2_professional_services,2019-2020,4283264.192768019
2_professional_services,2020-2021,4284715.159853001
3_information_technology,2017-2018,4661473.848566117
3_information_technology,2018-2019,9619824.712353043
3_information_technology,2019-2020,10296012.073549675
3_information_technology,2020-2021,9314237.986074347
4_medical,2017-2018,23429.029461756374
4_medical,2018-2019,23429.029461756374
5_transportation_and_logistics,2019-2020,43825.36
6_industrial_products_and_services,2017-2018,28250
6_industrial_products_and_services,2018-2019,22140.66
6_industrial_products_and_services,2020-2021,7813.068870523416
7_travel,2017-2018,418716.89005150343
7_travel,2018-2019,415404.192434143
7_travel,2019-2020,236518.97802721782
7_travel,2020-2021,263858.1632071442
8_security_and_protection,2017-2018,58086.61
8_security_and_protection,2018-2019,60144.93
8_security_and_protection,2020-2021,137780.18
9_human_capital,2017-2018,221041.25805941576
9_human_capital,2018-2019,505005.8734541122
9_human_capital,2019-2020,620715.310134633
9_human_capital,2020-2021,504275.4193451936
