d_fiscal_year,total,total_constant_2019_dollars
2017-2018,3045086.48,3135112.70
2018-2019,5335865.67,5433823.98
2019-2020,5451386.01,5405116.55
2020-2021,7286595.06,6944230.44
2021-2022,14164325.86,13160243.05
