owner_org,d_fiscal_year,total
cbsa-asfc,2017-2018,19201626.52
cbsa-asfc,2018-2019,1721148.38
cbsa-asfc,2019-2020,1380866.69
cbsa-asfc,2020-2021,4875918.77
csc-scc,2017-2018,4577329.27
csc-scc,2018-2019,7705417.95
csc-scc,2019-2020,15631593.25
csc-scc,2020-2021,622461.97
dfatd-maecd,2019-2020,17383.92
dfo-mpo,2017-2018,2370607.25
dfo-mpo,2018-2019,4795667.82
dfo-mpo,2019-2020,5812557.25
dfo-mpo,2020-2021,2102939.56
dnd-mdn,2017-2018,6520735.37
dnd-mdn,2018-2019,15147675.13
dnd-mdn,2019-2020,9281958.69
dnd-mdn,2020-2021,12407034.89
ec,2017-2018,58922.78
ec,2018-2019,11144.34
ec,2019-2020,159447.32
ec,2020-2021,491428.73
ic,2017-2018,1628725.91
ic,2018-2019,682726.20
pc,2018-2019,81776.02
pc,2019-2020,517754.04
pc,2020-2021,71721.35
pwgsc-tpsgc,2017-2018,559562.24
pwgsc-tpsgc,2018-2019,773106.26
pwgsc-tpsgc,2019-2020,93508.92
pwgsc-tpsgc,2020-2021,462270.42
rcmp-grc,2017-2018,52131441.57
rcmp-grc,2018-2019,53185356.99
rcmp-grc,2019-2020,35308442.82
rcmp-grc,2020-2021,49548512.70
