d_fiscal_year,total,total_constant_2019_dollars
2017-2018,631413.09,647782.39
2018-2019,1170962.14,1184522.65
2019-2020,3419828.87,3412807.98
2020-2021,3674656.42,3591890.40
2021-2022,3687703.55,3089406.02
