d_fiscal_year,total,total_constant_2019_dollars
2017-2018,1466282.69,1510177.54
2018-2019,2300524.83,2341923.16
2019-2020,2053199.48,2031398.57
2020-2021,753534.66,719474.06
2021-2022,829071.93,772123.82
