d_most_recent_category,d_fiscal_year,total,total_constant_2019_dollars
1_facilities_and_construction,2017-2018,96848.69,99169.13
1_facilities_and_construction,2018-2019,151210.43,153189.87
1_facilities_and_construction,2020-2021,22748.15,21420.07
1_facilities_and_construction,2021-2022,37185.79,34764.24
10_office_management,2017-2018,237947.22,244021.57
10_office_management,2018-2019,125378.33,127275.99
10_office_management,2019-2020,193424.77,189630.91
10_office_management,2020-2021,26840.64,25306.24
10_office_management,2021-2022,437949.69,329581.30
11_defence,2017-2018,575867.80,590108.42
11_defence,2018-2019,376139.25,381860.99
11_defence,2019-2020,290809.74,285188.24
11_defence,2020-2021,98194.23,93063.63
11_defence,2021-2022,288992.59,178935.21
2_professional_services,2021-2022,13042.51,12079.57
4_medical,2017-2018,109382.68,111990.35
4_medical,2018-2019,144787.78,147220.73
4_medical,2019-2020,690702.59,674816.24
4_medical,2020-2021,2501820.90,2378284.40
4_medical,2021-2022,531409.59,378077.39
5_transportation_and_logistics,2017-2018,11863.37,12165.83
5_transportation_and_logistics,2020-2021,90813.14,85915.69
5_transportation_and_logistics,2021-2022,58079.18,40390.81
6_industrial_products_and_services,2017-2018,2272401.86,2331061.86
6_industrial_products_and_services,2018-2019,1504864.15,1525609.23
6_industrial_products_and_services,2019-2020,989771.29,974886.75
6_industrial_products_and_services,2020-2021,1791533.84,1697416.76
6_industrial_products_and_services,2021-2022,1335646.27,688552.50
9_human_capital,2017-2018,24999.45,25658.53
