d_most_recent_category,d_fiscal_year,total
1_facilities_and_construction,2018-2019,40578.74
1_facilities_and_construction,2019-2020,66844.96690592714
1_facilities_and_construction,2020-2021,49065.35495377923
11_defence,2017-2018,29412.113751628112
11_defence,2018-2019,10524.04
11_defence,2019-2020,20004.684112370353
11_defence,2020-2021,18444.627605279034
2_professional_services,2017-2018,197642.29046575344
2_professional_services,2018-2019,398560.42
2_professional_services,2019-2020,399652.3663561644
2_professional_services,2020-2021,264741.6145506312
3_information_technology,2017-2018,8007740.496261584
3_information_technology,2018-2019,5202294.603051033
3_information_technology,2019-2020,5088352.664719145
3_information_technology,2020-2021,4869341.600851369
6_industrial_products_and_services,2017-2018,351872.5485227273
6_industrial_products_and_services,2018-2019,394266.8314772727
