d_most_recent_it_subcategory,d_fiscal_year,total,total_constant_2019_dollars
it_consulting_services,2017-2018,100117.59,103086.84
it_consulting_services,2018-2019,24069.00,24489.94
it_devices_equipment,2017-2018,3380701.40,3484685.92
it_devices_equipment,2018-2019,3230753.29,3296375.03
it_devices_equipment,2019-2020,120924.79,120314.76
it_devices_equipment,2020-2021,64165.05,61308.42
it_other,2017-2018,243931.92,251100.68
it_other,2018-2019,491216.38,500638.97
it_software_licensing,2017-2018,5267595.29,5428350.30
it_software_licensing,2018-2019,4552554.44,4642680.86
it_software_licensing,2019-2020,907414.74,905020.21
it_software_licensing,2020-2021,51001.96,48647.80
