d_most_recent_category,d_fiscal_year,total,total_constant_2019_dollars
1_facilities_and_construction,2017-2018,676767.96,697687.58
1_facilities_and_construction,2018-2019,676767.96,689736.96
1_facilities_and_construction,2019-2020,678622.12,673208.76
1_facilities_and_construction,2020-2021,715481.38,680978.85
1_facilities_and_construction,2021-2022,230791.57,215626.89
1_facilities_and_construction,2022-2023,2462496.44,2191669.72
11_defence,2017-2018,7059208.59,7275282.52
11_defence,2018-2019,373396.80,383365.31
11_defence,2020-2021,8184247.95,7811415.99
11_defence,2021-2022,38985.00,35519.09
2_professional_services,2017-2018,240658.70,248481.69
3_information_technology,2017-2018,85290.05,87831.78
3_information_technology,2018-2019,122355.36,124927.10
3_information_technology,2019-2020,92504.95,90393.51
3_information_technology,2020-2021,767370.63,730782.92
3_information_technology,2021-2022,254388.62,240410.31
6_industrial_products_and_services,2017-2018,1223437.40,1261255.17
6_industrial_products_and_services,2018-2019,1226120.98,1249590.96
6_industrial_products_and_services,2019-2020,1293724.25,1276605.99
6_industrial_products_and_services,2020-2021,1006887.02,958494.56
6_industrial_products_and_services,2021-2022,1101146.00,1017624.63
6_industrial_products_and_services,2022-2023,894037.18,791174.09
8_security_and_protection,2019-2020,2630158.07,2603581.01
8_security_and_protection,2020-2021,3127060.90,2977964.78
8_security_and_protection,2021-2022,3701536.27,3441413.26
8_security_and_protection,2022-2023,1079945.48,970616.09
9_human_capital,2021-2022,19901.56,18476.53
