d_fiscal_year,total,total_constant_2019_dollars
2017-2018,36007832.28,37111108.50
2018-2019,42273755.84,43041632.96
2019-2020,50850564.29,50436537.52
2020-2021,46510566.97,44318643.87
2021-2022,67515329.10,63005046.58
