d_most_recent_category,d_fiscal_year,total
1_facilities_and_construction,2017-2018,193361.85
1_facilities_and_construction,2018-2019,296805.26
1_facilities_and_construction,2019-2020,597920.74
1_facilities_and_construction,2020-2021,683036.18
1_facilities_and_construction,2021-2022,1214972.93
2_professional_services,2017-2018,181645.64
2_professional_services,2018-2019,261495.00
2_professional_services,2019-2020,1097220.80
2_professional_services,2020-2021,669944.04
2_professional_services,2021-2022,896007.24
5_transportation_and_logistics,2019-2020,12880.00
5_transportation_and_logistics,2021-2022,15508.99
