d_vendor_name,d_fiscal_year,total
ADVANCED BUSINESS INTERIORS,2017-2018,25975.420000000002
ADVANCED BUSINESS INTERIORS,2018-2019,17844.12
ALTIS HUMAN RESOURCES,2017-2018,9836.995000872905
ALTIS HUMAN RESOURCES,2018-2019,111743.31499912709
CBCI TELECOM,2017-2018,22849.659316921123
CBCI TELECOM,2018-2019,110297.51068307887
CNW GROUP,2017-2018,22600
EXCEL HUMAN RESOURCES,2017-2018,155456.49076085875
EXCEL HUMAN RESOURCES,2018-2019,69302.69363690035
FMC PROFESSIONALS,2017-2018,8003.038426966293
FMC PROFESSIONALS,2018-2019,4069.341573033708
LES TRADUCTIONS TESSIER,2017-2018,11853.448275862069
LES TRADUCTIONS TESSIER,2018-2019,13146.551724137931
MANIFEST COMMUNICATIONS,2017-2018,18469.466019417476
MEDIA Q,2017-2018,16950
MISHKUMI TECHNOLOGIES,2017-2018,150898.03174863386
MISHKUMI TECHNOLOGIES,2018-2019,220021.09825136611
N12 CONSULTING,2018-2019,107530.8
SAS INSTITUTE,2017-2018,231.6273371104816
SAS INSTITUTE,2018-2019,16121.262662889518
SOFTCHOICE,2017-2018,67626.65534039056
SOFTCHOICE,2018-2019,50096.974659609456
TEKNION,2017-2018,13515.77317269076
TELECOM COMPUTER SERVICES,2017-2018,667.5580267558529
TELECOM COMPUTER SERVICES,2018-2019,39252.41197324415
THE AIM GROUP,2018-2019,163528.93999999997
TOYOTA CANADA,2017-2018,38668.810000000005
UNIVERSITY OF WESTERN ONTARIO,2017-2018,23801.420000000002
XEROX,2017-2018,14578.054918032787
XEROX,2018-2019,11286.707343937494
XEROX,2019-2020,12371.446593285636
XEROX,2020-2021,12337.644826637315
