d_vendor_name,overall_total
MISHKUMI TECHNOLOGIES,370919.13
EXCEL HUMAN RESOURCES,244599.91
THE AIM GROUP,163528.94
CBCI TELECOM,133147.17
ALTIS HUMAN RESOURCES,121580.31
SOFTCHOICE,117723.63
N12 CONSULTING,107530.80
XEROX,62911.50
ADVANCED BUSINESS INTERIORS,43819.54
TELECOM COMPUTER SERVICES,39919.97
TOYOTA,38668.81
LES TRADUCTIONS TESSIER,25000.00
UNIVERSITY OF WESTERN ONTARIO,23801.42
CNW GROUP,22600.00
MANIFEST COMMUNICATIONS,18469.47
MEDIA Q,16950.00
SAS INSTITUTE,16352.89
TEKNION,13515.77
FMC PROFESSIONALS,12072.38
