d_vendor_name,overall_total
MISHKUMI TECHNOLOGIES,370919.13
EXCEL HUMAN RESOURCES,224759.18439775912
THE AIM GROUP,163528.93999999997
CBCI TELECOM,133147.17
ALTIS HUMAN RESOURCES,121580.31
SOFTCHOICE,117723.63
N12 CONSULTING,107530.8
XEROX,50573.85368189323
ADVANCED BUSINESS INTERIORS,43819.54
TELECOM COMPUTER SERVICES,39919.97
TOYOTA CANADA,38668.810000000005
LES TRADUCTIONS TESSIER,25000
UNIVERSITY OF WESTERN ONTARIO,23801.420000000002
CNW GROUP,22600
MANIFEST COMMUNICATIONS,18469.466019417476
MEDIA Q,16950
SAS INSTITUTE,16352.89
TEKNION,13515.77317269076
FMC PROFESSIONALS,12072.380000000001
