d_most_recent_category,d_fiscal_year,total,total_constant_2019_dollars
1_facilities_and_construction,2017-2018,3350960.29,3447273.19
1_facilities_and_construction,2018-2019,371622.55,378744.01
1_facilities_and_construction,2019-2020,874237.99,865063.95
1_facilities_and_construction,2020-2021,4238853.44,4043776.87
1_facilities_and_construction,2021-2022,2990400.00,2761789.55
5_transportation_and_logistics,2017-2018,29823.14,30842.62
5_transportation_and_logistics,2018-2019,3502006.55,3540090.46
5_transportation_and_logistics,2020-2021,114066.60,108111.54
5_transportation_and_logistics,2021-2022,91187.83,82432.35
5_transportation_and_logistics,2022-2023,757076.27,671067.11
