d_vendor_name,overall_total
ACCENTURE,18389097.613234967
VERITAAQ TECHNOLOGY HOUSE,13108748.587700848
BDO CANADA,6120646.918709177
COFOMO,3741073.0461951513
MICROSOFT CANADA,3392904.1627250607
STONEWORKS TECHNOLOGIES,2593638.671415641
ALTIS HUMAN RESOURCES,2445043.0249054744
EXCEL HUMAN RESOURCES,2281097.2843704266
MOODY S ANALYTICS,2197018.3944931505
IBISKA TELECOM,2121514.383287274
NISHA TECHONOLOGIES,2022012.48
TELUS CANADA,1795204.537340805
INTEGRA NETWORKS,1760525.314498596
TRM TECHNOLOGIES,1639373.2962123367
TERAMACH TECHNOLOGIES,1549892.7440897722
ITEX,1482839.4112634426
ASOKAN SOLUTIONS DE BUREAU,1207487.0999999999
I4C INFORMATION TECHNOLGY,1194030.3544148123
FLEMING COMMUNICATIONS,1185068.2538722078
CGI,1164220.7171466213
BELL CANADA,1159829.53
UBIQUS OTTAWA,1096210.818419729
GARTNER,970018.5122465753
ASL CONSULTING,962806.326059612
IBM CANADA,961093.0027556247
SI SYSTEMS,959057.5772199008
ABI ADVANCED BUSINESS INTERIORS,950779.78
SOCIETE GAMMA,934315.2246814219
SYSTEMATIX SOLUTIONS,923815.9553299493
S P GLOBAL MARKET INTELLIGENCE,903265.4010857564
ALTIS HUMAN RESOURCES OTTAWA AND EXCEL HUMAN RESOURCES INC IN JOINT VENTURE,867616.4129078708
CANADIAN CORPS OF COMMISSIONAIRES,837409.59
SHARP ELECTRONICS,773074.9892220483
INTERNATIONAL ASSOCIATION OF INSURANCE SUPERVISORS,684037.3243394935
WINKLEVOSS TECHNOLOGY,664694.6004552674
JUNO RISK SOLUTIONS,643545.2049573679
GILLILAND GOLD YOUNG,623772.351019434
LEE HECHT HARRISON KNIGHTSBRIDGE,619971.577818699
STRATEGIC RELATIONSHIPS SOLUTIONS,601250.9084458714
BLOOMBERG FINANCE L P,592294.1552899925
VMWARE,592135.39
LEE HECHT HARRISON,542071.16
RANDSTAD,523261.7882352941
RAYMOND CHABOT GRANT THORNTON,519615.14154929575
ODGERS BERNDTSON CANADA,519094.91
DELOITTE AND TOUCHE,511217.5212027431
PRICEWATERHOUSE COOPERS,492677.53
STRATEGIC RELATIONSHIPS SOLUTIONS I,488370.3804527297
CAREER JOY,459734.2934555925
KIFINTI SOLUTIONS,454735.21261458896
CALIAN,449497.41528767126
TELECOM COMPUTER SERVICES,439408.59672131145
VANTAGE VENUES,428404.46
DELL COMPUTER,408176.98826265393
MICHAEL WAGER CONSULTING,403134.3849383667
MDOS CONSULTING,402411.8069951349
VIZOR,379695.09486322186
SOFTCHOICE,370062.01826324954
A HUNDRED ANSWERS,366120
INTERNATIONAL ASSOCIATION OF,348224.56
MARBERG,341890.68
AMEX BANK OF CANADA,338175.6920273973
DATAVAIL CANADA,316267.5237395659
BURKE CADER MEDIA STRATEGIES,311242.8530516432
CONEXSYS,294802.20118457446
SAS INSTITUTE,290778.9669041096
HYPERTEC,286391.72000000003
PLEIAD CANADA,284087.37162589474
SHERATON CENTER TORONTO,272070.43
BRC BUSINESS ENTREPRISES,267215.91000000003
SHARED SERVICES CANADA SSC,265391.8
HAY GROUP,264504.5441279704
BAY WATERS INVESTMENTS,264247.18859566445
RGB SYSTEMS DBA EXTRON ELECTRON,250501.8
ENVIRONICS RESEARCH GROUP,249744.6317921147
DEMENAGEMENT SLBL MOVING,235140.29
KORN FERRY HAY GROUP,229936.9002600958
ADVANCED CHIPPEWA TECHNOLOGIES,224611.70462212485
BLACKBERRY,223078.36700070385
THE CANADIAN CORPS,214154.4
HAWORTH,210668.32
DAVID ANTHONY PEACH,207879.87
THE VCAN GROUP,203032.75
DELARAM KAVOOSI SHARIF ABAD,190863
ROBERT DOUGLAS CONSULTING,190863
BANK FOR INTERNATIONAL SETTLEMENTS,190777.70607106047
JAMES M CAMERON,190637
LANNICK CONTRACT SOLUTIONS,190382.4
MICHEL HYLANDS,190185
ERGO INDUSTRIAL SEATING SYSTEMS,185425.6
PRECISION IT,182225.92705882352
EDGAR,180920.5479452055
COMPUTACENTER TERAMACH,180463.8359317443
EMOND HARNDEN,175828
KPMG,174199.18142548596
HEAT SOFTWARE USA,167914.58168377823
VMWARE INTERNATIONAL UNLIMITED COMP,163730.16
ADVANCED BUSINESS INTERIORS,162824.07
FACTIVA,159521.2
ERNST YOUNG,158103.7925419933
