d_most_recent_category,d_fiscal_year,total,total_constant_2019_dollars
1_facilities_and_construction,2017-2018,7287212.10,7508978.91
1_facilities_and_construction,2018-2019,5669404.33,5775201.20
1_facilities_and_construction,2019-2020,3686782.38,3655903.44
1_facilities_and_construction,2020-2021,3050920.44,2904000.16
1_facilities_and_construction,2021-2022,2833106.52,2633936.24
1_facilities_and_construction,2022-2023,2195191.38,1961817.79
2_professional_services,2019-2020,18243.28,17884.79
2_professional_services,2020-2021,54847.57,52220.95
2_professional_services,2021-2022,193322.72,179737.09
2_professional_services,2022-2023,139622.73,124935.01
