d_most_recent_category,d_fiscal_year,total
1_facilities_and_construction,2017-2018,12557.69
1_facilities_and_construction,2018-2019,74225.2
1_facilities_and_construction,2019-2020,50754.23
10_office_management,2017-2018,393982.4828068964
10_office_management,2018-2019,573647.3712359454
10_office_management,2019-2020,335478.5726074041
10_office_management,2020-2021,232351.07356784242
2_professional_services,2017-2018,453260.92206458235
2_professional_services,2018-2019,1083895.1880569805
2_professional_services,2019-2020,529522.6115987218
2_professional_services,2020-2021,1060736.377163913
3_information_technology,2017-2018,3190549.0040063346
3_information_technology,2018-2019,5542276.469064092
3_information_technology,2019-2020,3957853.321372348
3_information_technology,2020-2021,6182682.60531835
5_transportation_and_logistics,2017-2018,175734.15759772973
5_transportation_and_logistics,2018-2019,175734.15759772973
5_transportation_and_logistics,2019-2020,91009.91763438717
5_transportation_and_logistics,2020-2021,104883.47883067802
6_industrial_products_and_services,2017-2018,39867.51
6_industrial_products_and_services,2018-2019,13730.859999999999
6_industrial_products_and_services,2019-2020,21523.329999999998
8_security_and_protection,2017-2018,13730.904858657244
8_security_and_protection,2018-2019,56687.11759309595
8_security_and_protection,2019-2020,31844.073131285673
8_security_and_protection,2020-2021,32446.752208480564
9_human_capital,2017-2018,529892.7259026142
9_human_capital,2018-2019,1263956.3045636357
9_human_capital,2019-2020,1628485.497163685
9_human_capital,2020-2021,1703614.5507837993
