d_most_recent_category,d_fiscal_year,total
10_office_management,2017-2018,41787.2344511609
10_office_management,2018-2019,217892.61220396988
10_office_management,2019-2020,232275.85878862586
10_office_management,2020-2021,629297.9594695242
11_defence,2020-2021,331315.02
3_information_technology,2019-2020,10445.417236662106
3_information_technology,2020-2021,18874.145006839943
5_transportation_and_logistics,2020-2021,142067.8956521739
6_industrial_products_and_services,2017-2018,495993.82786076027
6_industrial_products_and_services,2018-2019,542713.8958333334
6_industrial_products_and_services,2019-2020,968727.1822275657
6_industrial_products_and_services,2020-2021,933133.7339722961
