d_most_recent_category,d_fiscal_year,total,total_constant_2019_dollars
1_facilities_and_construction,2017-2018,540472.78,558948.38
1_facilities_and_construction,2020-2021,843412.50,812153.37
1_facilities_and_construction,2021-2022,860947.50,808427.46
1_facilities_and_construction,2022-2023,922966.42,826959.32
