d_most_recent_category,d_fiscal_year,total
1_facilities_and_construction,2017-2018,37343.79
1_facilities_and_construction,2018-2019,15402.35
1_facilities_and_construction,2019-2020,16303.46
1_facilities_and_construction,2020-2021,19230.82
2_professional_services,2018-2019,22125.40
2_professional_services,2019-2020,19249.65
3_information_technology,2017-2018,37826.82
6_industrial_products_and_services,2017-2018,124579.47
6_industrial_products_and_services,2018-2019,1391758.62
6_industrial_products_and_services,2019-2020,1132908.84
6_industrial_products_and_services,2020-2021,1213507.46
9_human_capital,2018-2019,17718.75
