d_most_recent_category,d_fiscal_year,total,total_constant_2019_dollars
11_defence,2017-2018,227667.95,234645.80
11_defence,2018-2019,227667.95,231829.49
11_defence,2019-2020,76097.23,76280.36
11_defence,2021-2022,4057.06,3688.97
2_professional_services,2017-2018,765936.36,788940.17
2_professional_services,2018-2019,927789.34,943590.33
2_professional_services,2019-2020,522751.27,520250.69
2_professional_services,2020-2021,271029.20,258700.01
2_professional_services,2021-2022,206630.21,193279.55
3_information_technology,2017-2018,8340439.66,8595195.87
3_information_technology,2018-2019,7189804.95,7323531.93
3_information_technology,2019-2020,6417888.92,6374471.07
3_information_technology,2020-2021,4214170.85,4017347.23
3_information_technology,2021-2022,3838568.54,3590251.19
