owner_org,d_fiscal_year,total
aandc-aadnc,2017-2018,1479175.33
aandc-aadnc,2018-2019,659957.40
aandc-aadnc,2019-2020,607286.57
aandc-aadnc,2020-2021,435255.58
dnd-mdn,2017-2018,224758.70
dnd-mdn,2018-2019,378090.91
dnd-mdn,2019-2020,242349.13
dnd-mdn,2020-2021,393207.13
ec,2017-2018,9391.43
ec,2018-2019,8996.00
hc-sc,2017-2018,22600.00
hc-sc,2018-2019,21357.00
hc-sc,2019-2020,23645.25
isc-sac,2018-2019,71063.34
isc-sac,2019-2020,40706.19
nrcan-rncan,2017-2018,158825.87
nrcan-rncan,2018-2019,152157.19
nrcan-rncan,2019-2020,0.00
nrcan-rncan,2020-2021,0.00
pc,2017-2018,40524.40
pc,2018-2019,157991.39
pc,2019-2020,333794.36
pc,2020-2021,738555.63
pwgsc-tpsgc,2017-2018,4653077.23
pwgsc-tpsgc,2018-2019,6926650.99
pwgsc-tpsgc,2019-2020,4375499.04
pwgsc-tpsgc,2020-2021,3372114.31
