d_most_recent_category,d_fiscal_year,total,total_constant_2019_dollars
1_facilities_and_construction,2017-2018,815982.99,841888.34
1_facilities_and_construction,2020-2021,2561466.71,2466879.44
1_facilities_and_construction,2021-2022,1557713.01,1433536.37
1_facilities_and_construction,2022-2023,1139733.35,1024417.71
5_transportation_and_logistics,2020-2021,17250.00,16593.53
