d_most_recent_category,total,percentage
11_defence,12994905.49,0.5535
6_industrial_products_and_services,5181983.34,0.2207
1_facilities_and_construction,4971213.23,0.2117
3_information_technology,210614.48,0.009
9_human_capital,67460.29,0.0029
8_security_and_protection,53495.26,0.0023
