d_most_recent_it_subcategory,d_fiscal_year,total,total_constant_2019_dollars
it_devices_equipment,2017-2018,19751.09,20295.37
it_devices_equipment,2018-2019,15964.07,16226.74
it_devices_equipment,2019-2020,102328.38,100586.78
it_devices_equipment,2020-2021,101071.72,95978.50
it_devices_equipment,2021-2022,445798.07,416860.76
it_other,2020-2021,12595.28,11945.89
it_other,2021-2022,18022.37,16694.56
it_software_licensing,2017-2018,51929.80,53434.05
it_software_licensing,2018-2019,69982.17,70734.72
it_software_licensing,2019-2020,300553.42,297160.48
it_software_licensing,2020-2021,49923.66,47524.72
it_software_licensing,2021-2022,45076.16,41692.97
