normalized_vendor_name,original_vendor_name
CONSTRUCTIONS BSL,Constructions BSL Inc
CONSTRUCTIONS BSL,CONSTRUCTIONS BSL INC.
CONSTRUCTIONS BSL,CONSTRUCTION BSL INC
