d_fiscal_year,total,total_constant_2019_dollars
2017-2018,1414835.65,1458172.12
2018-2019,2092536.86,2131245.29
2019-2020,2244419.91,2228307.36
2020-2021,2158204.32,2058087.62
2021-2022,1961624.34,1826551.78
2022-2023,2381256.48,2131538.59
