d_most_recent_category,d_fiscal_year,total
2_professional_services,2017-2018,666058.33
2_professional_services,2018-2019,807700.82
2_professional_services,2019-2020,1403030.96
2_professional_services,2020-2021,1426313.73
3_information_technology,2017-2018,748777.32
3_information_technology,2018-2019,1284836.03
3_information_technology,2019-2020,841388.95
3_information_technology,2020-2021,742353.74
