d_vendor_name,overall_total
VMWARE,10553205.9
SI SYSTEMS,2149889.3273800453
IDS SYSTEMS CONSULTANTS,1229030.424269173
NEW PRINTING,618351.8758092856
ALTIS HUMAN RESOURCES,507166.04
TOSHIBA CLIENT SOLUTIONS CAN,480729.63999999996
TELECOM COMPUTER SERVICES,447306.56
RANDSTAD,345455.69
NORTHERN MICRO,264548.37000000005
MICROSOFT CANADA,263308.04000000004
GCSTRATEGIES,260526.33952528378
GC STRATEGIES,241851.84621044886
PROJECT X PRODUCTIONS,239557.47
HILTON LAC LEAMY,223508.91
OPENCONCEPT CONSULTING,217876.28324723247
FREEBALANCE,199270.22
LORD ELGIN HOTEL,180665.83
9334 5296 QUEBEC O A PRIME IMPRESSION,177342.208
FCA CANADA,171775.83
ST JOSEPH MEDIA,147695.6294227188
MITSUBISHI MOTOR SALES OF CAN,131131.08000000002
BLAKE CASSELS GRAYDON,129671.57
SOCIETE DES CASINO DU QUEBEC RESTO CASINO HILTON OPERATING AS HILTON LAC LEAMY,127056.34
BEARCOM CANADA,119339.90168874172
9334 5296 QUEBEC OPERATING AS PRIME IMPRESSION,115740.26000000001
ASTRAL MEDIA AFFICHAGE S E C,112523.81999999999
IRON MOUNTAIN,109359.12000000002
DUOSON MULTIMEDIA,106347.76534883722
TURRIS COMMUNICATIONS,103225.70471090048
HEWLETT PACKARD,97540.27348855222
MELTWATER NEWS CANADA,81948.99315068494
THE AIM GROUP,78298.84
BESPOKE AUDIO VISUAL,71032.78
417 BUS LINE,70193.12471887551
GRAVURE CHOQUET,68953.66492146596
CNW GROUP,67800
KAREN MACKAY,65376.15
CDW CANADA,64936.96338417502
CTM MEDIA GROUP,59897.100000000006
INTU DESIGN,58628.05
VOILA QUEBEC,57910.04
CAZASAIKALEY,57696.25
PATTISON OUTDOOR ADVERTISING,53725.85
ITEX,46697.8951369863
ADVANCED CHIPPEWA TECHNOLOGIES,45747.24219178082
DELTA BEAUSEJOUR,44317.83
LAMONTAGNE GERALD,42481.79272300469
ACCESS 2 NETWORKS,40951.713922651936
POSTMEDIA NETWORK ASSIGNEE MELTWATER NEWS CANADA INC,40205
RELATIONS PUBLIQUES NATIONAL,39776
MINDWIRE SYSTEMS,36652.68000000001
DRAFTING CLINIC CANADA THE,36262.04469496021
HAYS SPECIALIST RECRUITMENT,35970.310000000005
INFOMART DIVISION OF MELTWATER,34578
DLS TECHNOLOGY,32138.419561643837
NOVI SYSTEMS,31748.109589041098
SAMSON ET ASSOCIES,30524.129999999997
DELTA QUEBEC CITY,30189.87
HOTEL PUR QUEBEC,30167.14
BLACKBERRY,29655.72
COSSETTE COMMUNICATIONS,29380
GLOBELITE TRAVEL MARKETING,28928
GROUPE IMAGI COMMUNICATION LE,28266.6
CALIAN,27237.42042042042
SOFTCHOICE,27128.442465753425
ADWARE PROMOTION,27064.942985611513
GLOBAL UPHOLSTERY,26716.01
DELTA OTTAWA CITY CENTRE,26608.79
DILITRUST CANADA,26560.914334862387
VEEAM,26556.975956284154
CITY OF OTTAWA,26354.98
SZM PROMOTIONS,25688.000000000004
APPTION,24973
GROUPE ALITHYA,24834.6
FURLOW FINANCIAL,24012.5
ALLANTE AIRPORT TRANSPORTATION,23122.51
CANADIAN HEARING SERVICES,23053.061224489797
OTTAWA CITIZEN A DIVISION OF,22818.769999999997
GROUPE IMAGI COMMINICATION LE,22661.010000000002
CNW,22600
3627730 CANADA INC OPERATING AS FREEMAN AUDIO VISUAL,22267.97
PURELOGIC,22244.778067885116
MANPOWER SERVICES CANADA,21800.19
ROGERS,21735.677431488446
DYNAMIC STAFFING,21147.5
H K COMMUNICATIONS,20679
CATHERINE AGUILLON,20186.230248306998
HOTEL CLARENDON,20150.55
SWA OTTAWA WESTIN OTTAWA,19961.68
NORTHERN NEWS SERVICES,18455.11311053984
METROLAND MEDIA GROUP,17571.5
NUNATEXT,17460.539717223648
10199516 CANADA TRAXXION,17232.5
NOVA NETWORKS,17011.02
MEDIAS TRANSCONTINENTAL,16756.77
BOUCHER VON ASSOCIATES,16243.75
UNIVERSITY OF OTTAWA,15820
CISTEL TECHNOLOGY,15572.81
ATELIER D ILATHAN,15176.71
PITNEY BOWES,14394.920821467691
