d_most_recent_category,total,percentage
9_human_capital,12756791.31,0.9809
2_professional_services,166828.38,0.0128
3_information_technology,42459.68,0.0033
8_security_and_protection,22272.30,0.0017
10_office_management,17200.00,0.0013
