d_most_recent_category,d_fiscal_year,total,total_constant_2019_dollars
0_other,2017-2018,152895.57,156549.70
0_other,2018-2019,201294.17,205293.24
1_facilities_and_construction,2018-2019,39499.88,39907.43
1_facilities_and_construction,2019-2020,24514.62,24307.74
1_facilities_and_construction,2020-2021,0.00,0.00
1_facilities_and_construction,2021-2022,0.00,0.00
11_defence,2018-2019,24700.00,25171.60
2_professional_services,2017-2018,7623103.80,7818812.27
2_professional_services,2018-2019,11586884.29,11762651.37
2_professional_services,2019-2020,15958678.23,15812647.44
2_professional_services,2020-2021,18158982.75,17260796.62
2_professional_services,2021-2022,22979211.64,21278063.75
3_information_technology,2017-2018,1530173.18,1570218.62
3_information_technology,2018-2019,2335496.20,2367993.29
3_information_technology,2019-2020,6860935.59,6787978.45
3_information_technology,2020-2021,9738037.95,9258540.07
3_information_technology,2021-2022,10291504.13,9545168.23
6_industrial_products_and_services,2018-2019,20905.00,21144.84
7_travel,2018-2019,20119.03,20316.98
7_travel,2019-2020,232060.47,229909.45
9_human_capital,2017-2018,2156762.26,2213543.30
9_human_capital,2018-2019,79635.85,81365.49
9_human_capital,2019-2020,25086.00,24881.99
9_human_capital,2020-2021,1508827.31,1436620.16
9_human_capital,2021-2022,2220653.10,2061754.27
