d_most_recent_category,d_fiscal_year,total,total_constant_2019_dollars
1_facilities_and_construction,2021-2022,122040.00,95467.57
10_office_management,2017-2018,292100.07,299611.21
10_office_management,2018-2019,97905.08,99913.80
10_office_management,2019-2020,169500.00,169200.27
10_office_management,2020-2021,53704.82,50569.43
10_office_management,2021-2022,740058.24,555874.89
2_professional_services,2017-2018,34608.77,35438.64
2_professional_services,2018-2019,78951.26,80179.07
2_professional_services,2019-2020,621680.85,613144.54
2_professional_services,2020-2021,152322.46,144334.99
2_professional_services,2021-2022,285461.58,263291.85
3_information_technology,2017-2018,81987.27,84363.39
3_information_technology,2018-2019,42066.99,42633.57
3_information_technology,2019-2020,81336.29,80409.46
3_information_technology,2020-2021,2445830.64,2318730.13
3_information_technology,2021-2022,5471606.79,4102044.43
6_industrial_products_and_services,2017-2018,15628.46,15996.86
6_industrial_products_and_services,2018-2019,85956.54,87296.00
6_industrial_products_and_services,2019-2020,19210.35,18780.22
6_industrial_products_and_services,2020-2021,115331.51,109333.00
6_industrial_products_and_services,2021-2022,145755.01,108137.27
