d_most_recent_category,d_fiscal_year,total
10_office_management,2017-2018,292100.07
10_office_management,2018-2019,97905.08
10_office_management,2019-2020,169500.00
10_office_management,2020-2021,53704.82
2_professional_services,2017-2018,34608.77
2_professional_services,2018-2019,78951.26
2_professional_services,2019-2020,621680.85
2_professional_services,2020-2021,152322.46
3_information_technology,2017-2018,81987.27
3_information_technology,2018-2019,42066.99
3_information_technology,2019-2020,81336.29
3_information_technology,2020-2021,2445830.64
6_industrial_products_and_services,2017-2018,15628.46
6_industrial_products_and_services,2018-2019,85956.54
6_industrial_products_and_services,2019-2020,19210.35
6_industrial_products_and_services,2020-2021,115331.51
